Soil,Season,Location,Crop
loamy,monsoon,Bhubaneswar,rice
clayey,winter,Bhubaneswar,lentil
sandy,summer,Bhubaneswar,maize
loamy,monsoon,Ahmedabad,pearl millet
clayey,winter,Ahmedabad,wheat
sandy,summer,Ahmedabad,cotton
silty,monsoon,Lucknow,rice
clayey,winter,Lucknow,wheat
sandy,summer,Lucknow,green gram
loamy,monsoon,Patna,rice
clayey,winter,Patna,gram
sandy,summer,Patna,maize
silty,monsoon,Chennai,rice
clayey,winter,Chennai,sorghum
sandy,summer,Chennai,groundnut
loamy,monsoon,Kochi,rice
clayey,winter,Kochi,cowpea
sandy,summer,Kochi,cassava
loamy,monsoon,Delhi,rice
clayey,winter,Delhi,wheat
sandy,summer,Delhi,bajra
silty,monsoon,Kolkata,jute
clayey,winter,Kolkata,wheat
sandy,summer,Kolkata,maize
loamy,monsoon,Bengaluru,rice
clayey,winter,Bengaluru,wheat
sandy,summer,Bengaluru,groundnut
loamy,monsoon,Hyderabad,rice
clayey,winter,Hyderabad,wheat
sandy,summer,Hyderabad,cotton
loamy,monsoon,Agartala,rice
clayey,winter,Agra,wheat
silty,monsoon,Aizawl,jute
peaty,summer,Ajmer,sugarcane
loamy,winter,Akola,wheat
sandy,monsoon,Aligarh,groundnut
clayey,summer,Allahabad,soybean
silty,winter,Ambattur,mustard
peaty,monsoon,Amravati,maize
loamy,summer,Amritsar,maize
sandy,winter,Asansol,gram
clayey,monsoon,Aurangabad,rice
silty,summer,Bareilly,sunflower
peaty,winter,Bathinda,potato
loamy,monsoon,Belgaum,banana
clayey,winter,Bhilai,barley
silty,monsoon,Bhiwandi,buckwheat
peaty,summer,Bhopal,cashew
sandy,monsoon,Bhavnagar,turmeric
clayey,summer,Bikaner,chilli
silty,winter,Chandigarh,peas
peaty,monsoon,Chennai,pineapple
loamy,summer,Coimbatore,maize
sandy,winter,Cuttack,wheat
clayey,monsoon,Darbhanga,rice
silty,summer,Davanagere,bajra
peaty,winter,Dehradun,potato
sandy,summer,Dhanbad,groundnut
clayey,winter,Dispur,wheat
silty,monsoon,Durgapur,jute
peaty,summer,Dubai,sugarcane
loamy,winter,Erode,lentil
sandy,monsoon,Firozabad,bajra
clayey,summer,Faridabad,soybean
silty,winter,Gangtok,mustard
peaty,monsoon,Gaya,maize
loamy,summer,Ghaziabad,banana
sandy,winter,Gorakhpur,cotton
clayey,monsoon,Gulbarga,rice
silty,summer,Guntur,sunflower
peaty,winter,Gurgaon,potato
loamy,monsoon,Guwahati,rice
sandy,summer,Gwalior,gram
clayey,winter,Howrah,wheat
silty,monsoon,Hubli-Dharwad,jute
peaty,summer,Hyderabad,sugarcane
loamy,winter,Imphal,barley
sandy,monsoon,Indore,groundnut
clayey,summer,Itanagar,soybean
silty,winter,Jabalpur,mustard
peaty,monsoon,Jaipur,rice
loamy,summer,Jalandhar,banana
sandy,winter,Jalgaon,wheat
clayey,monsoon,Jammu,soybean
silty,summer,Jamnagar,chilli
peaty,winter,Jamshedpur,potato
loamy,monsoon,Jhansi,rice
sandy,summer,Jodhpur,bajra
clayey,winter,Kakinada,wheat
silty,monsoon,Kalyan-Dombivli,jute
peaty,summer,Kanpur,sugarcane
loamy,winter,Kavaratti,barley
sandy,monsoon,Kochi,groundnut
clayey,summer,Kolhapur,soybean
peaty,monsoon,Kollam,maize
loamy,summer,Kota,maize
sandy,winter,Kozhikode,gram
clayey,monsoon,Kurnool,rice
silty,summer,Loni,sunflower
peaty,winter,Lucknow,potato
loamy,monsoon,Ludhiana,rice
sandy,summer,Madurai,cotton
clayey,winter,Malegaon,barley
silty,monsoon,Mangalore,buckwheat
peaty,summer,Meerut,cashew
loamy,winter,Mira-Bhayandar,lentil
sandy,monsoon,Mumbai,turmeric
clayey,summer,Mysore,chilli
silty,winter,Nagpur,peas
peaty,monsoon,Nanded,pineapple
loamy,summer,Nashik,maize
sandy,winter,Navi Mumbai,wheat
clayey,monsoon,Nellore,rice
silty,summer,Noida,bajra
peaty,winter,Orai,potato
loamy,monsoon,Panipat,rice
clayey,winter,Pimpri-Chinchwad,wheat
silty,monsoon,Port Blair,jute
peaty,summer,Puducherry,sugarcane
loamy,winter,Pune,barley
sandy,monsoon,Raipur,groundnut
clayey,summer,Rajahmundry,soybean
silty,winter,Rajkot,mustard
peaty,monsoon,Rampur,maize
loamy,summer,Ranchi,banana
sandy,winter,Rourkela,wheat
clayey,monsoon,Salem,rice
silty,summer,Saharanpur,sunflower
peaty,winter,Sangli-Miraj & Kupwad,potato
loamy,monsoon,Shahjahanpur,rice
sandy,summer,Shimla,groundnut
clayey,winter,Siliguri,wheat
silty,monsoon,Solapur,jute
peaty,summer,Srinagar,sugarcane
loamy,winter,Surat,barley
sandy,monsoon,Thane,bajra
clayey,summer,Tiruchirappalli,soybean
silty,winter,Tirunelveli,mustard
peaty,monsoon,Tiruppur,maize
loamy,summer,Udaipur,cotton
sandy,winter,Ujjain,gram
clayey,monsoon,Ulhasnagar,rice
silty,summer,Vadodara,sunflower
peaty,winter,Varanasi,potato
loamy,monsoon,Vasai-Virar,rice
sandy,summer,Vijayawada,bajra
clayey,winter,Visakhapatnam,wheat
silty,monsoon,Warangal,jute